"RP7"	"Busaju"	"Tengele"	"Ongo"	"Rwesama"	"Kasokwa"	"Kinyara"
"Alethe diademata"	18	17	2	11	6	0	0
"Alethe poliocephala"	0	0	0	0	1	0	0
"Amandava subflava"	0	0	0	0	0	1	0
"Androadus latirostris"	5	10	0	0	1	0	0
"Andropadus gracilirostris"	0	0	1	0	0	0	0
"Andropadus gracilus"	0	1	0	0	0	0	0
"Andropadus virens"	9	35	14	15	24	26	29
"Anthreptes collaris"	0	0	0	0	0	0	1
"Apalis rufogularis"	0	0	0	2	0	0	0
"Bleda syndactyla"	10	19	13	9	17	1	2
"Cameroptera brachyura"	0	1	1	4	4	10	4
"Cameroptera chloronota"	9	10	1	1	0	0	0
"Cameroptera superciliaris"	0	0	0	1	0	0	0
"Campethera caroli"	2	1	2	1	3	2	1
"Campethera nivosa"	3	1	0	2	3	0	0
"Cercococcyx mechowi"	0	1	0	0	0	1	0
"Clytospiza monteiri"	0	0	0	1	2	4	1
"Cossypha cyanocamper"	0	1	0	0	0	0	0
"Cossypha natalensis"	0	7	4	0	0	1	0
"Cossypha niveicapilla"	0	0	0	0	0	1	0
"Criniger calurus"	2	4	0	1	0	1	0
"Estrilda nonnula"	0	1	0	0	5	0	0
"Halcyon badia"	2	0	0	0	0	0	0
"Halcyon malimbica"	1	0	0	4	3	0	1
"Halcyon senegalensis"	0	0	0	2	0	0	0
"Hippolais languida"	0	0	0	1	0	1	3
"Hylia prasina"	3	8	3	3	6	1	8
"Illadopsis pyrrhoptera"	1	0	0	0	1	0	0
"Ispidina lecontei"	1	7	4	0	0	0	0
"Ispidina picta"	1	4	4	2	5	7	4
"Lagonosticta rubricata"	0	0	0	0	5	0	0
"Lagonosticta senegala"	0	0	0	0	2	0	0
"Lonchura bicolor"	0	1	0	0	3	0	0
"Lonchura cucullata"	0	0	0	0	4	1	0
"Lybius hirsutus"	0	0	0	0	0	0	1
"Macrosphenus concolor"	0	0	0	1	0	1	0
"Malimbus rubricollis"	0	1	0	0	0	0	0
"Mandingoa nitidula"	0	10	0	1	0	0	0
"Merops albicollis"	0	0	0	0	1	0	0
"Muscicapa caerulescens"	0	0	0	0	0	1	0
"Myioparus griseigularis"	1	2	2	3	2	0	0
"Myioparus plumbeus"	0	0	0	1	0	0	0
"Nectarinia chloropygia"	0	0	0	0	0	3	1
"Nectarinia olivacea"	34	19	10	12	25	17	4
"Nectarinia verticals"	0	0	0	0	0	1	0
"Neocossyphus poensis"	0	3	0	0	0	0	0
"Neocossyphus rufus"	0	0	2	0	0	0	1
"Nesocharis capistrata"	0	0	0	0	0	0	1
"Nicator chloris"	0	0	0	1	0	0	0
"Nigrita canicapilla"	0	0	0	3	0	0	0
"Phyllastrephus flavostriatus"	48	67	22	23	30	14	8
"Phyllastrephus icterinus"	0	9	0	0	0	0	0
"Phyllastrephus xavieri"	0	0	1	0	1	0	0
"Phylloscopus trochilus"	0	0	0	0	0	1	0
"Platysteira blissetti"	3	0	0	0	0	0	0
"Platysteira castanea"	0	1	0	3	0	0	0
"Ploceus nigerrimus"	0	0	0	7	0	0	0
"Ploceus nigricollis"	0	2	0	8	2	2	13
"Ploceus ocularis"	0	0	0	0	0	2	5
"Ploceus superciliosus"	0	0	0	0	1	0	0
"Pogoniulus subsulphureus"	1	1	0	0	0	0	0
"Pycnonotus barbatus"	0	0	0	0	1	1	0
"Pyrenestes ostrinus"	0	0	0	1	0	0	2
"Sarothrura elegans"	0	0	0	0	2	0	0
"Sarothrura pulchra"	0	0	0	1	0	0	1
"Spermophaga ruficapilla"	4	3	1	3	6	1	0
"Stiphrornis erythrothorax"	25	15	2	4	0	0	0
"Stizorhina fraseri"	0	0	1	0	0	0	0
"Sylvietta virens"	0	0	0	1	0	1	0
"Terpsiphone rufiventer"	1	2	4	1	8	1	3
"Terpsiphone viridi"	0	1	0	0	0	0	0
"Trichastoma albipectus"	6	7	1	2	0	0	0
"Trichastoma fulvescens"	3	0	0	0	4	0	0
"Trichastoma rufipennis "	13	4	4	9	6	4	8
"Turtur tympanistria"	0	4	1	0	1	1	1
