ForestName plotid dbh stump SpeciesCode
1 Zika 1 4.6 0 AntMem
2 Zika 1 5.4 0 AntMem
3 Zika 1 7.5 0 AntMem
4 Zika 1 4.7 0 AntMem
5 Zika 1 5 0 DryUga
6 Zika 1 4.2 0 ErySua
7 Zika 1 6.6 0 MacMon
8 Zika 1 4.4 0 ParFil
9 Zika 1 6.6 0 SynBre
10 Zika 1 6 0 TetDid
11 Zika 1 4.5 0 TriPri
12 Zika 1 11.7 0 TriMad
13 Zika 2 45.4 0 CanSch
14 Zika 2 7.4 0 DeiKil
15 Zika 2 20.3 0 MacAng
16 Zika 2 5.8 0 MaeEmi
17 Zika 2 4.3 0 OchAfz
18 Zika 2 38 0 PolFul
19 Zika 2 70.2 0 PseMic
20 Zika 2 14.3 0 PycAng
21 Zika 2 4.1 0 SpoPre
22 Zika 2 4.7 0 SynBre
23 Zika 2 7.8 0 TriMad
24 Zika 2 4.3 0 TriMad
25 Zika 2 13.8 0 TriMad
26 Zika 2 8.9 0 TriMad
27 Zika 3 16.8 0 AntTox
28 Zika 3 6.2 0 AntTox
29 Zika 3 14.4 0 DryUga
30 Zika 3 10.4 0 OxySpe
31 Zika 3 17 0 TabHol
32 Zika 3 11.7 0 TabHol
33 Zika 3 11.7 0 TabHol
34 Zika 3 4 0 TriMad
35 Zika 3 5.2 0 TriMad
36 Zika 3 4.3 0 TriMad
37 Zika 3 4.5 0 TriMad
38 Zika 3 4.6 0 AntMem
39 Zika 3 5.4 0 AntMem
40 Zika 3 7.5 0 AntMem
41 Zika 3 4.7 0 AntMem
42 Zika 3 6.5 0 AntMem
43 Zika 3 4.2 0 ErySua
44 Zika 3 6.6 0 MacMon
45 Zika 3 4.4 0 ParFil
46 Zika 3 6.6 0 SynBre
47 Zika 3 6 0 TetDid
48 Zika 3 4.5 0 TriPri
49 Zika 3 11.7 0 TriMad
50 Zika 4 7 0 EntAng
51 Zika 4 66.5 0 ErySua
52 Zika 4 7.8 0 HeiPar
53 Zika 4 12 0 HeiPar
54 Zika 4 8 0 OchAfz
55 Zika 4 28.9 0 ParFil
56 Zika 4 5.4 0 SynBre
57 Zika 4 15.1 0 TriPri
58 Zika 4 28 0 TriMad
59 Zika 4 45.4 0 CanSch
60 Zika 4 20.3 0 MacAng
61 Zika 4 5.8 0 MaeEmi
62 Zika 4 38 0 PolFul
63 Zika 4 70.2 0 PseMic
64 Zika 4 14.3 0 PycAng
65 Zika 4 4.1 0 SpoPre
66 Zika 4 4.7 0 SynBre
67 Zika 4 7.8 0 TriMad
68 Zika 4 4.3 0 TriMad
69 Zika 4 13.8 0 TriMad
70 Zika 4 8.9 0 TriMad
71 Zika 5 8.7 0 ArtHet
72 Zika 5 9.1 0 BliUni
73 Zika 5 5.7 0 DryUga
74 Zika 5 4.8 0 OxySpe
75 Zika 5 27.8 0 TriMad
76 Zika 5 4.5 0 TriMad
77 Zika 5 4.9 0 TriMad
78 Zika 5 7.2 0 ZanGol
79 Zika 6 4.5 0 OxySpe
80 Zika 6 5.4 0 OxySpe
81 Zika 6 3.7 0 OxySpe
82 Zika 6 10.1 0 PycAng
83 Zika 6 8.5 0 SpoPre
84 Zika 6 6 0 SpoPre
85 Zika 6 5.6 0 SynBre
86 Zika 6 5.2 0 SynBre
87 Zika 6 6.1 0 TriDre
88 Zika 6 4.4 0 TriMad
89 Zika 6 4.3 0 TriMad
90 Zika 6 4.4 0 TriMad
91 Zika 6 4.2 0 TriMad
92 Zika 6 8.3 0 TriMad
93 Zika 7 4 0 EntAng
94 Zika 7 4.3 0 HeiPar
95 Zika 7 4.7 0 OchAfz
96 Zika 7 12.5 0 ParGui
97 Zika 7 20.8 0 PycAng
98 Zika 7 3.9 0 StaKam
99 Zika 7 4.5 0 SynBre
100 Zika 7 17.4 0 TabHol
101 Zika 7 13.3 0 TabHol
102 Zika 7 11.1 0 TriPri
103 Zika 7 16.5 0 XylSta
104 Zika 8 13.5 0 AntMem
105 Zika 8 21.9 0 AntMem
106 Zika 8 5.1 0 AntMem
107 Zika 8 13 0 CroMac
108 Zika 8 16.5 0 LovTri
109 Zika 8 14.8 0 LovTri
110 Zika 8 22.6 0 ManBut
111 Zika 8 12.2 0 ManBut
112 Zika 8 4.9 0 OxySpe
113 Zika 8 7.2 0 SynBre
114 Zika 9 78 0 ErySua
115 Zika 9 4.6 0 ManBut
116 Zika 9 9 0 ManBut
117 Zika 9 9.2 0 OchAfz
118 Zika 9 49 0 PipAfr
119 Zika 9 11.2 0 StaKam
120 Zika 9 7.6 0 TriMad
121 Zika 10 28.4 0 AntTox
122 Zika 10 9.1 0 BarAcu
123 Zika 10 8.2 0 HeiPar
124 Zika 10 5.8 0 LovTri
125 Zika 10 5.5 0 LovTri
126 Zika 10 6.8 0 LovTri
127 Zika 10 3.8 0 MacAng
128 Zika 10 4.1 0 OchAfz
129 Zika 10 4.3 0 OchAfz
130 Zika 10 34.5 0 OchSpp
131 Zika 10 4.4 0 OxySpe
132 Zika 10 6 0 PipAfr
133 Zika 11 53.8 0 MaeEmi
134 Zika 11 45.4 0 ParFil
135 Zika 11 9.6 0 TecNob
136 Zika 11 32.6 0 TriPri
137 Zika 12 5.7 0 CraScw
138 Zika 12 5.7 0 EkeCap
139 Zika 12 3.9 0 LovTri
140 Zika 12 39.4 0 MaeEmi
141 Zika 12 35.5 0 ManBut
142 Zika 12 32 0 MarDis
143 Zika 12 4.7 0 TriRub
144 Zika 12 6.5 0 TriMad
145 Zika 12 22 0 TriMad
146 Zika 13 24.6 0 ArtHet
147 Zika 13 4.6 0 BarAcu
148 Zika 13 4.3 0 CraScw
149 Zika 13 4.5 0 LovTri
150 Zika 13 24.4 0 ManInd
151 Zika 13 9.1 0 ManInd
152 Zika 13 6.8 0 OxySpe
153 Zika 13 3.8 0 OxySpe
154 Zika 13 4.5 0 OxySpe
155 Zika 13 4.5 0 TabHol
156 Zika 13 4.4 0 TabHol
157 Zika 14 4.7 0 AntTox
158 Zika 14 13.7 0 AntTox
159 Zika 14 17.1 0 AntTox
160 Zika 14 18.2 0 AntTox
161 Zika 14 19 0 CelMil
162 Zika 14 4.6 0 ClaAni
163 Zika 14 5.3 0 OchAfz
164 Zika 14 5 0 OchAfz
165 Zika 14 22.9 0 ParFil
166 Zika 14 4.8 0 TabHol
167 Zika 14 19.4 0 TecNob
168 Zika 14 12 0 TriDre
169 Zika 14 15 0 ZanGol
170 Zika 15 27.7 0 MarDis
171 Zika 15 4.1 0 OchAfz
172 Zika 15 4.2 0 OchAfz
173 Zika 15 4.7 0 OchAfz
174 Zika 15 14 0 OchSpp
175 Zika 15 5.8 0 PipAfr
176 Zika 15 5 0 TecNob
177 Zika 15 7.2 0 TecNob
178 Zika 15 4.7 0 ZanGol
179 Zika 16 9.3 0 BarAcu
180 Zika 16 14.5 0 BarAcu
181 Zika 16 11.1 0 TriPri
182 Zika 16 3.8 0 ZanGol
183 Zika 16 5.9 0 ZanLep
184 Zika 17 13.4 0 AntTox
185 Zika 17 45.4 0 CanSch
186 Zika 17 23 0 TriPri
187 Zika 17 16.9 0 TriPri
188 Zika 17 29.8 0 TriRub
189 Zika 17 5.8 0 TriMad
190 Zika 18 4 0 AlcFlo
191 Zika 18 29.5 0 AntTox
192 Zika 18 29.5 0 AntTox
193 Zika 18 13.8 0 ManBut
194 Zika 18 6 0 ManBut
195 Zika 18 6.2 0 ManBut
196 Zika 18 6.9 0 ParFil
197 Zika 18 26.3 0 SpoPre
198 Zika 18 64.8 0 ZanGil
199 Zika 19 17.8 0 AntTox
200 Zika 19 7.8 0 AntTox
201 Zika 19 16.3 0 BliWel
202 Zika 19 4.5 0 BliWel
203 Zika 19 3.7 0 ManBut
204 Zika 19 11.1 0 ManBut
205 Zika 19 4.4 0 TabHol
206 Zika 19 17.4 0 TriMar
