TR	Compartment	Forest	Slope	Aspect	BA	Deadwood	Stumps	LLCover	LLDepth	ShrubCover	pH	N%	C%	K	Ca	Mg	Na	CanO	m from stream
1	190	ys	0	flat	77	6	1	100	1.7	16.7	5.9	0.317	2.63	0.45	7.7	4.23	0.035	10	5
2	190	ys	20	se	66.66	6	0	88.3	1.3	17.5	6.8	0.317	3.136	0.68	15.68	4.18	0.052	11	65
3	190	ys	18	se	66.66	6	0	80	0.7	21.7	7	0.325	2.754	0.45	11.83	3.33	0.026	12	125
4	190	ys	25	s	63.33	4	0	50	0.5	40	7	0.317	2.711	0.79	14.3	3.16	0.035	14	5
5	190	ys	5	s	76.66	4	0	87.5	1.25	35	6.1	0.358	3.347	0.45	12.1	3.52	0.026	17	65
6	190	ys	3	se	50	4	3	91.7	0.75	10.8	6.3	0.408	4.237	0.68	12.1	4.92	0.026	13	125
24	177	ys	0	flat	43.33	2	0	92	1.6	28.3	6.9	0.542	4.45	0.56	26.13	8.25	0.05	15	5
25	177	ys	2	nw	70	0	0	93.3	1	22	8	0.583	4.025	0.36	31.9	5.24	0.035	12	65
26	177	ys	1	nw	73.33	2	0	87	0.7	27.5	5.6	0.357	2.797	0.36	11.55	2.69	0.017	11	125
27	177	ys	0	flat	60	3	0	79.1	0.75	34.2	6.3	0.408	3.56	0.45	19.25	9.43	0.087	11	5
28	177	ys	1	w	36.66	2	0	95	1.08	25	6.9	0.575	4.449	0.56	28.05	12.08	0.104	13	65
29	177	ys	2	se	40	3	0	93.3	1.1	27.5	7	0.7	6.48	0.79	38.5	9.17	0.052	14	125
51	203	ys	0	flat	40	3	0	100	2.2	26	6.5	0.576	5.847	0.36	25.3	9.24	0.035	11	5
52	203	ys	2	e	70	4	1	94	0.92	27.5	5.5	0.25	2.203	0.17	8.25	1.6	0.348	8.4	65
53	203	ys	5	e	63.33	2	1	100	1.8	15.8	7.4	0.357	3.263	0.45	17.05	4.39	0.052	11	125
66	181	ys	0	flat	46.66	5	1	92.5	0.5	27	5.7	0.417	3.856	0.45	22.83	7.97	0.035	14	5
67	181	ys	0	flat	30	3	0	97	1	40	6.4	0.792	4.195	0.79	22	7.85	0.052	14	65
68	181	ys	0	flat	30	4	2	84	0.5	28	6.1	0.542	5.976	0.68	29.7	10.78	0.052	11	125
69	181	ys	0	flat	60	2	0	79	0.5	35.8	6.8	0.375	3.686	0.34	22.55	8.34	0.009	11	5
70	181	ys	0	flat	40	2	0	59	0.5	42	6.9	0.583	5.211	0.9	72.05	11.58	0.035	13	65
71	181	ys	0	flat	56.66	1	1	82.5	0.5	47	6.5	0.99	4.45	0.56	29.15	7.33	0.009	9	125
18	204	os	3	s	80	8	0	84.2	1.08	14.2	7.1	0.325	2.5	0.33	13.2	3.57	0.026	9.6	5
