Species_Name	Habit
Aframomum mildbraedii	Nonwoody
Aristolochia elegans	Nonwoody
Begonia eminni	Nonwoody
Boltis auriculata	Nonwoody
Corymborkis corymbis	Nonwoody
Costus afer	Nonwoody
Cyathula achyranthoides	Nonwoody
Dicleptera sp.	Nonwoody
Diplocyclos palmatus	Nonwoody
Dracaena fragrans	Nonwoody
Dracaena laxima	Nonwoody
Habenaria  genuflexa	Nonwoody
Hibiscus calyphyllus	Nonwoody
Impatients naimiamensis	Nonwoody
Leea guineesis	Nonwoody
Leptaspis zeylanica	Nonwoody
Marantochloa leucantha	Nonwoody
Marantochloa purpurea	Nonwoody
Olyra latifolia	Nonwoody
Palisota manii	Nonwoody
Pavetta ternifolia	Nonwoody
Phoenix reclinata	Nonwoody
Phytolacca decandra	Nonwoody
Piper capensis	Nonwoody
Pollia condensata	Nonwoody
Pseudochinoclea sp	Nonwoody
Pseudoranthemum ludovicianum	Nonwoody
Renealmia congolana	Nonwoody
Stanfieldiella imperforata	Nonwoody
Tacca leontopetaloides	Nonwoody
Thurmbergia vogeliana	Nonwoody
