spores seeds ferns env herbs trees
1 TRUE TRUE TRUE TRUE TRUE TRUE
2 FALSE FALSE TRUE TRUE TRUE TRUE
3 TRUE TRUE TRUE TRUE TRUE TRUE
4 TRUE TRUE TRUE TRUE TRUE TRUE
5 FALSE FALSE TRUE TRUE TRUE TRUE
6 TRUE TRUE TRUE TRUE TRUE TRUE
7 TRUE TRUE TRUE TRUE FALSE FALSE
8 FALSE FALSE TRUE FALSE FALSE FALSE
9 FALSE FALSE TRUE FALSE FALSE FALSE
10 TRUE TRUE TRUE TRUE FALSE FALSE
11 FALSE FALSE TRUE TRUE FALSE FALSE
12 FALSE FALSE TRUE FALSE FALSE FALSE
13 FALSE FALSE TRUE FALSE FALSE FALSE
14 FALSE FALSE TRUE FALSE FALSE FALSE
15 TRUE TRUE TRUE TRUE TRUE TRUE
16 FALSE FALSE TRUE TRUE FALSE FALSE
17 TRUE TRUE TRUE TRUE TRUE TRUE
18 TRUE TRUE TRUE TRUE FALSE FALSE
19 FALSE FALSE TRUE TRUE FALSE FALSE
20 TRUE TRUE TRUE TRUE TRUE TRUE
21 TRUE TRUE TRUE TRUE TRUE TRUE
22 FALSE FALSE TRUE TRUE FALSE FALSE
23 TRUE TRUE TRUE TRUE FALSE FALSE
24 TRUE TRUE TRUE TRUE TRUE TRUE
25 FALSE FALSE TRUE TRUE FALSE FALSE
26 TRUE TRUE TRUE TRUE TRUE TRUE
27 TRUE TRUE TRUE TRUE TRUE TRUE
28 TRUE TRUE TRUE TRUE FALSE FALSE
29 FALSE FALSE TRUE TRUE TRUE TRUE
30 FALSE FALSE TRUE FALSE TRUE TRUE
31 FALSE FALSE TRUE FALSE TRUE TRUE
32 FALSE FALSE TRUE FALSE TRUE TRUE
33 FALSE FALSE TRUE TRUE TRUE TRUE
34 FALSE FALSE TRUE TRUE FALSE FALSE
35 FALSE FALSE TRUE TRUE TRUE TRUE
36 TRUE TRUE TRUE TRUE TRUE TRUE
37 FALSE FALSE TRUE TRUE FALSE FALSE
38 TRUE TRUE TRUE TRUE TRUE TRUE
39 TRUE TRUE TRUE TRUE TRUE TRUE
40 FALSE FALSE TRUE TRUE FALSE FALSE
41 TRUE TRUE TRUE TRUE FALSE FALSE
42 TRUE TRUE TRUE TRUE FALSE FALSE
43 TRUE TRUE TRUE TRUE FALSE FALSE
44 TRUE TRUE TRUE TRUE FALSE FALSE
45 TRUE TRUE TRUE TRUE TRUE TRUE
46 FALSE FALSE TRUE TRUE FALSE FALSE
47 TRUE TRUE TRUE TRUE TRUE TRUE
48 TRUE TRUE TRUE TRUE TRUE TRUE
49 FALSE FALSE TRUE TRUE FALSE FALSE
50 FALSE TRUE TRUE TRUE FALSE FALSE
51 TRUE TRUE TRUE TRUE FALSE FALSE
52 FALSE FALSE TRUE TRUE FALSE FALSE
53 FALSE FALSE TRUE TRUE FALSE FALSE
54 TRUE TRUE TRUE TRUE FALSE FALSE
55 FALSE FALSE TRUE TRUE FALSE FALSE
56 TRUE TRUE TRUE TRUE FALSE FALSE
57 TRUE TRUE TRUE TRUE TRUE TRUE
58 FALSE FALSE TRUE TRUE FALSE FALSE
59 TRUE TRUE TRUE TRUE TRUE TRUE
60 TRUE TRUE TRUE TRUE TRUE TRUE
61 FALSE FALSE TRUE TRUE FALSE FALSE
62 TRUE TRUE TRUE TRUE TRUE TRUE
63 FALSE FALSE TRUE FALSE FALSE FALSE
64 FALSE FALSE TRUE FALSE FALSE FALSE
65 FALSE FALSE TRUE FALSE FALSE FALSE
66 TRUE TRUE TRUE TRUE TRUE TRUE
67 FALSE FALSE TRUE TRUE FALSE FALSE
68 TRUE TRUE TRUE TRUE TRUE TRUE
69 FALSE TRUE TRUE TRUE TRUE TRUE
70 FALSE FALSE TRUE TRUE FALSE FALSE
71 TRUE TRUE TRUE TRUE TRUE TRUE
72 TRUE TRUE TRUE TRUE TRUE TRUE
73 FALSE FALSE TRUE TRUE FALSE FALSE
74 TRUE TRUE TRUE TRUE TRUE TRUE
