sample	asp mac	asp uni	asp ine	asp gem	asp ere	asp hol	asp war	pte ham	pte bur_atr	pte pte	pte cat	pte den	bol aur	bol gem	bol acr	tec gem	tec ang	chr par	dor kir	mic pun	mic spe	pel don	art pal	nep bis	pne uni	lom war	dry sp	cal pro	cyc int	pla sp
1	16	100	0	0	0	0	0	1	0	0	1	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	16	1	0	16	1	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0
3	0	0	31	0	0	0	0	16	0	0	0	6	0	0	0	0	0	16	16	0	0	0	0	0	0	0	0	0	0	0
4	0	31	0	0	0	0	0	16	0	0	1	1	6	0	0	0	0	16	16	0	1	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	16	0	0	16	16	0	0	0	0	0	6	16	0	1	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0	0	0	0	0	0
24	100	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	31	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
52	31	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0
53	16	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	16	0	0	0	0	0	0	16	1	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	31	0	0	6	0	0	0	6	6	0	1	0	0	0	1	0	0	1	0	0	0	6	1	0	0	0	0	0	0	0
19	6	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
20	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21	50	0	0	0	0	0	0	6	6	0	0	1	6	0	0	6	0	6	0	0	0	0	1	0	0	0	0	0	0	0
22	6	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0
23	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
34	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	31	1	1	31	50	6	0	0	0	1	0
36	50	0	0	0	0	0	0	0	31	1	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
37	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	31	0	0	0	1	1	0	0	31	0	0	0	0	31	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1
40	1	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
42	16	0	0	0	0	0	0	0	0	0	31	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
43	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	1	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
45	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
46	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	6	0	0	0	0	0	0	0	16	0	6	0	0	16	0	1	0	1	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	31	100	1	0	0	0	0	16	1	0	1	0	31	0	0	16	6	6	0	0	0	0	0	0	0	0	0	0	0	0
16	31	0	6	0	0	0	0	1	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
