Species_Name	Habit
Acacia pentagona	Climber
Adenia sp.	Climber
Artabotrys likemensis	Climber
Caesalpinia bonduc	Climber
Cissus  quandrangularis	Climber
Clerodendrum formicarum	Climber
Combretum fuscum	Climber
Combretum paniculata	Climber
Culcasia falcifolia	Climber
Cynanchum polyanthum	Climber
Illegera penthaphyla	Climber
Monanthotaxi ferruginea	Climber
Monanthotaxis littoralis	Climber
Mondia whitei	Climber
Rhaphiostylis beninensis	Climber
Salacia elegans	Climber
Smilax anceps	Climber
Toddalia asiatica	Climber
Urera trinervis	Climber
Acanthaceae sp	NA
Albizia 11	NA
Albizia sp	NA
Allophyllus 10	NA
Allophyllus sp	NA
Annonaceae sp	NA
Arthropteris orientalis	NA
Asplenium	NA
Celastraceae sp 23	NA
Celtis sp	NA
Christella parasitica	NA
Climber 17	NA
climber 18	NA
Climber 28	NA
Climber 3	NA
Climber 31	NA
Climber 32	NA
Climber 33	NA
Climber 38	NA
Climber 40	NA
collected 14	NA
collected 16	NA
collected 19	NA
Collected 25	NA
Collected 26	NA
Collected 3	NA
collected 5	NA
Collected 9	NA
Croton sp	NA
Doryopteris	NA
Drypetes sp	NA
Dummy	NA
Entandrophragma sp	NA
Euphobiacea 28	NA
Euphorbiacea 27	NA
Euphorbiacea sp	NA
Fern 13	NA
ferns	NA
ferns	NA
Meliacia sp	NA
Psydrax sp.	NA
Pteris 15	NA
Pteris burtoni	NA
Pteris burtonii	NA
purple stem	NA
Rubiaceae	NA
Sapotaceae sp	NA
Small leaves 1	NA
small leaves 2	NA
Trifoliate fern	NA
Trifoliate shrub 17	NA
Unknown climber	NA
unknown shrub	NA
Aframomum mildbraedii	Nonwoody
Aristolochia elegans	Nonwoody
Begonia eminni	Nonwoody
Boltis auriculata	Nonwoody
Corymborkis corymbis	Nonwoody
Costus afer	Nonwoody
Cyathula achyranthoides	Nonwoody
Dicleptera sp.	Nonwoody
Diplocyclos palmatus	Nonwoody
Dracaena fragrans	Nonwoody
Dracaena laxima	Nonwoody
Habenaria  genuflexa	Nonwoody
Hibiscus calyphyllus	Nonwoody
Impatients naimiamensis	Nonwoody
Leea guineesis	Nonwoody
Leptaspis zeylanica	Nonwoody
Marantochloa leucantha	Nonwoody
Marantochloa purpurea	Nonwoody
Olyra latifolia	Nonwoody
Palisota manii	Nonwoody
Pavetta ternifolia	Nonwoody
Phoenix reclinata	Nonwoody
Phytolacca decandra	Nonwoody
Piper capensis	Nonwoody
Pollia condensata	Nonwoody
Pseudochinoclea sp	Nonwoody
Pseudoranthemum ludovicianum	Nonwoody
Renealmia congolana	Nonwoody
Stanfieldiella imperforata	Nonwoody
Tacca leontopetaloides	Nonwoody
Thurmbergia vogeliana	Nonwoody
Acalypha neptunica	Shrub
Acalypha psilostanchya	Shrub
Argomuellera macrophylla	Shrub
Chaetacme aristata	Shrub
Lindackeria schweinfurthii	Shrub
Nuxia congesta	Shrub
Ouratea densifolia	Shrub
Paullina pinnata	Shrub
Pyracantha sylvestris	Shrub
Solanum mauritianum	Shrub
Tetracera potatoria	Shrub
Venornia amygdalina	Shrub
Albizia grandibracteata	Tree
Albizia gummifera	Tree
Albizia odoratissima	Tree
Albizia zygia	Tree
Alchornea cordifolia	Tree
Allophyllus dummeri	Tree
Allophyllus ferrugineus	Tree
Alstonia boonei	Tree
Antiaris toxicaria	Tree
Aphania senegelensis	Tree
Bilghia unijugata	Tree
Broussonetia papyrifea	Tree
Canarium schweinfurthii	Tree
Carapa procera	Tree
Celtis africana	Tree
Celtis durandii	Tree
Celtis mildbreadii	Tree
Celtis wightii	Tree
Chrysophyllum albidum	Tree
Citropsis articulata	Tree
Claoxylon hexandrum	Tree
Clausena anisata	Tree
Coffea robusta	Tree
Cordia africana	Tree
Croton macrophyllus	Tree
Croton macrostachyus	Tree
Croton megalocarpus	Tree
Desplatsia mildbraedii	Tree
Diospyros abyssinica	Tree
Dovyalis macrocalyx	Tree
Drypetes ugandensis	Tree
Entandrophragma cylindricum	Tree
Entandrophragma utile	Tree
Euphorbia teke	Tree
Ficus asperifolia	Tree
Ficus exesparata	Tree
Ficus mucuso	Tree
Ficus sur	Tree
Funtumia elastica	Tree
Greenwayodendron sauveolens	Tree
Harungana madagascariensis	Tree
Khaya anthotheca	Tree
Kigelia africana	Tree
Kleinhovia hospitata	Tree
Lovoa trichiloides	Tree
Macaranga angolensis	Tree
Macaranga monondra	Tree
Maesopsis eminii	Tree
Manilkara butugi	Tree
Manilkara dawei	Tree
Margaritaria discoidea	Tree
Markhamia lutea	Tree
Milettia excelsum	Tree
Milletia psilopetala	Tree
Monodora angolensis	Tree
Myrianthus holstii	Tree
Ochna membranacea	Tree
Oncoba spinosa	Tree
Oxyanthus speciosus	Tree
Pachystela brevipes	Tree
Pachystela msolo	Tree
Piptadeniastrum africanum	Tree
Polyscias fulva	Tree
Psydrax parviflora	Tree
Psydrax schimperiana	Tree
Spathodea campanulata	Tree
Strombosia scheffleri	Tree
Strychnos mitis	Tree
Tabernaemontana holstii	Tree
Teclea nobilis	Tree
Trichilia prieureanea	Tree
Zanha golungensis	Tree
