Aframomum mildbraedii	Aristolochia elegans	Begonia eminni	Corymborkis corymbis	Costus afer	Cyathula achyranthoides	Dicleptera sp.	Diplocyclos palmatus	Dracaena fragrans	Dracaena laxima	Habenaria genuflexa	Hibiscus calyphyllus	Impatients naimiamensis	Leea guineesis	Leptaspis zeylanica	Marantochloa leucantha	Marantochloa purpurea	Olyra latifolia	Palisota manii	Pavetta ternifolia	Peristrophe paniculata	Phoenix reclinata	Phytolacca decandra	Piper capensis	Pollia condensata	Pseuderanthemum ludovicianum	Pseudochinoclea sp	Renealmia congolana	Stanfieldiella imperforata	Tacca leontopetaloides	Thunbergia vogeliana
1	0.25	0	0	0	0	0	0	0	37.5	0	0	0	0	0	1.75	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0.25	0	0
2	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0	0	2.5	65	0	0	0	0	0
3	0	0	0	1.2	0	0	0	0	1.6	0	0	0.4	0	0.2	2	0	0	0	0.2	0	0.4	0	0	0	0	41.2	0	0	0	0.4	0
4	0.833333333333333	0	0	0	0	0.333333333333333	0	0.166666666666667	0	0	0	2.83333333333333	0	0	1.16666666666667	0.166666666666667	0	0	0.333333333333333	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	25.8333333333333	0	0	0	0	0	19.1666666666667	0	0	0.833333333333333	0	0	0	0	0	0.166666666666667	0	1	0	0	0	0	0
6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	1.83333333333333	0	0	0	0	0	0	0	0.166666666666667	0	0	0.166666666666667	0	0	13.1666666666667	0	0	0.166666666666667	0	0	0	0	0	0	0	0.666666666666667	0.666666666666667	0	0	0	0
16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833333333333333	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0
18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
