Albizia grandibracteata	Albizia gummifera	Albizia odoratissima	Albizia zygia	Alchornea cordifolia	Allophyllus dummeri	Allophyllus ferrugineus	Alstonia boonei	Antiaris toxicaria	Aphania senegalensis	Ardisia stuadtii	Bilghia unijugata	Broussonetia papyrifera	Carapa procera	Celtis africana	Celtis durandii	Celtis mildbreadii	Celtis wightii	Citropsis articulata	Claoxylon hexandrum	Clausena anisata	Coffea eugenioides	Coffea robusta	Connarus longistipitatus	Cordia africana	Desplatsia mildbraedii	Diospyros abyssinica	Dovyalis macrocalyx	Drypetes sp	Drypetes ugandensis	Entandrophragma cylindricum	Entandrophragma utile	Euphorbia teke	Ficalhoa laurifolia	Ficus asperifolia	Ficus exesparata	Ficus sur	Funtumia elastica	Greenwayodendron suaveolens	Harungana madagascariensis	Khaya anthotheca	Kigelia africana	Kleinhovia hospitata	Landolphia owariensis	Leptonychia mildbraedii	Macaranga angolensis	Manilkara butugi	Manilkara dawei	Markhamia lutea	Millettia psilopetala	Monodora angolensis	Myrianthus holstii	Ochna membranacea	Oncoba spinosa	Oxyanthus speciosus	Pachystela brevipes	Pachystela msolo	Piptadeniastrum africanum	Polyscias fulva	Pristimera andongensis	Psydrax parviflora	Psydrax schimperiana	Strombosia scheffleri	Strychnos mitis	Tabernaemontana holstii	Tapura fischeri	Teclea nobilis	Trichilia prieureanea	Acalypha neptunica	Acalypha psilostanchya	Argomuellera macrophylla	Chaetacme aristata	Erythrococca trichogyne	Lindackeria bukobensis	Lindackeria schweinfurthii	Nuxia congesta	Ouratea densiflora	Paullina pinnata	Pyrenacantha sylvestris	Solanum mauritianum	Tetracera potatoria	Venornia amygdalina
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.5	0	13.75	0	0	0	0	0	0	0	0	0	0	0
2	0.75	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	1.5	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.8	0	0	0	0	0	0	0.2	0	0	0	0	0.2	0	0	0.6	0	0	0.2	0	0	0	0.2	0	0	0	0	0	0.2	0	0.4	0	0	0	0.2	0	0.2	0.2	0	0	0	0	0	0	0	0.2	0	0	0	0	0.4	0	0	0	0	0.2	0	0	0.2	0	0	0	0	0	0	0	0.4	0	14	0	0.2	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.333333333333333	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0.166666666666667	0	0	0	0	0.166666666666667	0	0	0.833333333333333	0.666666666666667	0	0.333333333333333	0	0	0	0	1.33333333333333	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0.666666666666667	0	0.166666666666667	0	0	0	0	0	0	0.166666666666667	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0.333333333333333	0	0.166666666666667	0	0	0	0	0.166666666666667	0	0	0	1.66666666666667	0.166666666666667	45	0	2.5	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	21	0	0	0	1	0	0	0	0	0	0	0
7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
