Compartment_id	Transect_id	Plot	species_id	abundance_count	abundance_percent	Species_Name	Species_Family
204	69	0	1	5	0	Albizia gumiifera	Leguminosae
204	69	0	5	1	0	Diospyros abyssinica	Ebenaceae
204	69	0	6	3	0	Bilghia usolanumnijugata	Sapindaceae
204	69	0	2	7	0	Celtis mildbreadii	Ulmaceae
204	69	0	3	3	0	Celtis ducrandii	Ulmaceae
204	69	0	8	1	0	Markhamia lutea	Bignoniaceae
204	0	0	9	1	0	Funtumia elastica	Apocynaceae
204	69	1	5	1	0	Diospyros abyssinica	Ebenaceae
204	69	1	10	0	50	Dracaena fragrans	Asparagaceae
204	69	1	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
204	69	1	12	1	0	Citropsis articulata	Rutaceae
204	69	2	12	1	0	Citropsis articulata	Rutaceae
204	69	2	11	0	30	Pseudoranthemum ludovicianum	Acanthaceae
204	69	2	10	0	20	Dracaena fragrans	Asparagaceae
204	69	2	13	1	0	Entandophragma sp	Meliaceae
204	69	3	10	0	40	Dracaena fragrans	Asparagaceae
204	69	3	11	0	5	Pseudoranthemum ludovicianum	Acanthaceae
204	69	3	14	1	0	Teclea nobilis	Rutaceae
204	69	3	1	2	0	Albizia gumiifera	Leguminosae
204	69	3	15	2	0	Argomuellera macrophylla	Euphobiaceae
204	69	3	16	0	1	Culcasia falcifolia	Araceae
204	69	4	17	0	10	Acalypha neptunica	Euphobiaceae
204	69	4	10	0	50	Dracaena fragrans	Asparagaceae
204	69	4	18	1	0	Unknown climber	
204	69	4	11	0	5	Pseudoranthemum ludovicianum	Acanthaceae
204	69	5	11	0	20	Pseudoranthemum ludovicianum	Acanthaceae
204	69	5	10	0	5	Dracaena fragrans	Asparagaceae
204	69	5	17	0	30	Acalypha neptunica	Euphobiaceae
204	69	5	15	3	0	Argomuellera macrophylla	Euphobiaceae
204	69	5	12	1	0	Citropsis articulata	Rutaceae
204	69	6	17	0	20	Acalypha neptunica	Euphobiaceae
204	69	6	10	0	10	Dracaena fragrans	Asparagaceae
204	69	6	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
