transect	DCA1
1	0.39134
2	0.05831
3	0.13777
4	0.44649
5	0.36489
6	0.04807
24	0.79454
25	0.9568
26	1.86022
27	1.77
51	0.12847
52	0.09186
53	0.16728
66	0.2791
69	0.40033
18	0.03558
19	0.60381
20	0.79906
21	0.09907
22	1.75273
23	0.30841
33	0.21588
34	0.72735
35	2.12699
36	1.2836
37	0.88295
38	0.95607
39	1.17347
40	1.25712
41	0.38919
42	0.26807
43	0.80982
44	0.86066
45	0.94604
46	1.88959
10	0.55824
15	0.25426
16	0.51641
17	0.8944
48	0.47967
49	0.54056
50	1.50144
54	0.96582
55	0.49967
56	0.09158
57	0.45434
58	0.04115
59	0.49346
60	0.2037
61	0.80982
62	0.67626
72	0.85389
73	0.3773
74	0.95607
