randomnumber	sample	nocurrences	Median_richness	mean_richness	median density
1	asp mac	31	5	5.193548387	4
2	asp uni	10	6	7.1	4
3	asp ine	9	6	5.777777778	1
4	asp gem	6	4	4.166666667	1.5
5	asp ere	4	6	6.25	1.5
6	asp hol	3	6	6.666666667	1
7	asp war	3	5	4.666666667	1
8	pte ham	29	5	5.344827586	2
9	pte bur_atr	23	4	4.913043478	1
10	pte pte	1	5	5	1
11	pte cat	16	6	6.5625	1.5
12	pte den	7	6	6.571428571	1
13	bol aur	10	7	7.5	2
14	bol gem	7	5	5.142857143	1
15	bol acr	5	7	7	2
16	tec gem	10	6	6.6	2
17	tec ang	4	4.5	5.25	2
18	chr par	22	6	6.409090909	1
19	dor kir	10	5	5	1
20	mic pun	11	6	6.363636364	1
21	mic spe	4	8.5	8.75	1
22	pel don	4	8.5	7.5	1
23	art pal	16	5.5	5.8125	1
24	nep bis	1	9	9	5
25	pne uni	3	9	9.666666667	1
26	lom war	1	10	10	1
27	dry sp	2	11	11	1
28	cal pro	1	4	4	4
29	cyc int	1	9	9	1
30	pla sp	1	10	10	1
