	asp mac	asp uni	asp ine	asp gem	asp ere	asp hol	asp war	pte ham	pte bur_atr	pte pte	pte cat	pte den	bol aur	bol gem	bol acr	tec gem	tec ang	chr par	dor kir	mic pun	mic spe	pel don	art pal	nep bis	pne uni	lom war	dry sp	cal pro	cyc int	pla sp
1	3	6	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	3	1	0	3	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
3	0	0	4	0	0	0	0	3	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0
4	0	4	0	0	0	0	0	3	0	0	1	1	2	0	0	0	0	3	3	0	1	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	3	0	0	3	3	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0
24	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
51	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
52	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0
53	3	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	3	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18	4	0	0	2	0	0	0	2	2	0	1	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0
19	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
20	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21	5	0	0	0	0	0	0	2	2	0	0	1	2	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0
22	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
23	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
34	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	1	1	4	5	2	0	0	0	1	0
36	5	0	0	0	0	0	0	0	4	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
37	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	4	0	0	0	1	1	0	0	4	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1
40	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
42	3	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
43	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
45	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
46	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	2	0	0	0	0	0	0	0	3	0	2	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0
15	4	6	1	0	0	0	0	3	1	0	1	0	4	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0
16	4	0	2	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	5	0	5	0	0	0	0	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
49	5	0	1	0	2	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
50	4	0	1	0	4	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	3	4	0	0	0	0	0	0	0	0	4	0	2	0	2	4	0	2	0	2	1	0	4	0	1	0	1	0	0	0
55	3	2	0	0	0	0	0	2	0	0	4	1	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
56	5	5	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
57	0	0	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
58	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
59	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
60	5	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
61	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0
72	0	6	0	0	0	0	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
73	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
