sample	asp mac	asp uni	asp ine	asp gem	asp ere	asp hol	asp war	pte ham	pte bur_atr	pte pte	pte cat	pte den	bol aur	bol gem	bol acr	tec gem	tec ang	chr par	dor kir	mic pun	mic spe	pel don	art pal	nep bis	pne uni	lom war	dry sp	cal pro	cyc int	pla sp
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	2	0	0	0	0	0	0	0	3	0	2	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	4	6	1	0	0	0	0	3	1	0	1	0	4	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0
16	4	0	2	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	5	0	5	0	0	0	0	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
49	5	0	1	0	2	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
50	4	0	1	0	4	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	3	4	0	0	0	0	0	0	0	0	4	0	2	0	2	4	0	2	0	2	1	0	4	0	1	0	1	0	0	0
55	3	2	0	0	0	0	0	2	0	0	4	1	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
56	5	5	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
57	0	0	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
58	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
59	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
60	5	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
61	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0
72	0	6	0	0	0	0	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
73	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
