transect	triplet	Forest	distclass
1	A	ys	STR
2	A	ys	MID
3	A	ys	FAR
4	B	ys	STR
5	B	ys	MID
6	B	ys	FAR
24	G	ys	STR
25	G	ys	MID
26	G	ys	FAR
27	H	ys	STR
51	O	ys	STR
52	O	ys	MID
53	O	ys	FAR
66	S	ys	STR
69	T	ys	STR
18	E	os	STR
19	E	os	MID
20	E	os	FAR
21	F	os	STR
22	F	os	MID
23	F	os	FAR
33	I	os	STR
34	I	os	MID
35	I	os	FAR
36	J	os	STR
37	J	os	MID
38	J	os	FAR
39	K	os	STR
40	K	os	MID
41	K	os	FAR
42	L	os	STR
43	L	os	MID
44	L	os	FAR
45	M	os	STR
46	M	os	MID
10	C	og	STR
15	D	og	STR
16	D	og	MID
17	D	og	FAR
48	N	og	STR
49	N	og	MID
50	N	og	FAR
54	P	og	STR
55	P	og	MID
56	P	og	FAR
57	Q	og	STR
58	Q	og	MID
59	Q	og	FAR
60	R	og	STR
61	R	og	MID
62	R	og	FAR
72	U	og	STR
73	U	og	MID
74	U	og	FAR
